"caseid_new","w2_section","w1_partyid7","w1_ppc10017","w1_ppp20071","w1_ppp20072","w1_ppagecat","w1_ppeducat","w1_ppethm","w1_ppRace_1","w1_ppRace_2","w1_ppRace_3","w1_ppRace_4","w1_ppRace_5","w1_ppRace_6","w1_ppgender","w1_pphhhead","w1_pphouse","w1_ppincimp_cat","w1_ppmarit","w1_ppmsacat","w1_PPREG4","w1_pprent","w1_PPT18OV","w1_ppwork","w1_xlgb","w1_partnership_status","w1_prior_identity_lgb","w1_same_sex_couple","w1_same_sex_couple_gender","w1_q4","w1_q5","w1_q6a","w1_q6b","w1_q9","w1_q10","w1_q11","w1_q12","w1_q14","w1_q16","w1_q17","w1_attraction","w1_identity_all","w1_q23","w1_otherdate_all","w1_married","w1_age_when_met","w1_time_from_met_to_rel","w1_subject_race","w1_partner_mother_yrsed","w1_subject_mother_yrsed","w1_partner_yrsed","w1_subject_yrsed","w1_either_internet_adjusted","w1_smart_phone","w1_children_in_hh"
53001,0,6,1,-2,6,4,2,5,1,0,1,0,0,0,2,1,1,2,1,0,2,1,1,1,2,1,0,0,0,1,0,1,1,46,11,14,1,9,7,3,1,1,3,1,1,44,0.5,3,20,12,14,12,0,1,0
71609,1,3,2,1,4,6,3,1,1,0,0,0,0,0,2,1,1,2,1,0,4,1,2,1,2,1,0,0,0,1,0,1,1,71,10,9,3,5,7,1,1,1,3,1,1,15,0.1666259765625,1,12,9,13,13,0,0,0
106983,1,7,1,2,4,3,3,1,1,0,0,0,0,0,1,0,1,3,1,1,4,1,3,1,2,1,0,0,0,2,0,1,1,49,10,13,7,12,5,1,1,1,1,1,1,21,0.75,1,17,16,13,14,0,1,1
121759,1,2,1,1,2,4,2,1,1,0,0,0,0,0,1,1,1,3,1,1,1,1,4,1,2,1,0,0,0,2,0,1,4,59,13,1,4,14,3,1,1,1,3,1,1,26,0.3333740234375,1,0,20,17,12,0,1,0
158083,0,3,1,-2,5,4,3,1,1,0,0,0,0,0,1,1,1,3,3,1,4,1,1,1,2,3,0,0,0,2,0,1,1,34,11,11,2,9,0,3,1,1,1,1,0,42,0,1,14,12,14,13,0,1,0
164061,1,2,1,-2,4,5,3,1,1,0,0,0,0,0,1,1,3,3,1,1,4,3,2,1,2,1,0,0,0,2,0,1,1,52,12,11,2,9,0,2,1,1,1,1,1,35,0.0833740234375,1,14,12,16,13,0,1,0
185779,0,7,2,-2,6,6,3,1,1,0,0,0,0,0,2,1,1,1,3,1,4,1,1,6,2,3,0,0,0,1,0,1,1,75,10,9,7,10,0,2,1,1,3,1,0,36,0.4166259765625,1,12,13,13,13,0,0,0
212249,1,1,1,1,1,5,2,2,0,1,0,0,0,0,2,0,1,2,1,1,3,1,6,1,2,1,0,0,0,1,0,1,2,55,10,9,1,9,0,1,1,1,3,1,1,21,0,2,12,12,13,12,0,1,0
214227,1,3,1,2,6,6,2,1,1,0,0,0,0,0,2,1,1,2,3,1,3,1,2,5,2,1,0,0,0,1,0,1,2,79,9,4,6,8,0,3,1,1,3,1,1,48,1.25,1,7.5,12,12,12,0,1,0
218351,1,2,-2,2,6,4,3,1,1,0,0,0,0,0,1,1,1,3,1,1,3,1,2,1,2,1,0,0,0,2,0,1,1,46,10,12,2,9,0,2,1,1,4,1,1,15,9.9166259765625,1,16,12,13,14,0,NA,1
220655,1,6,1,2,6,3,3,5,1,0,1,0,0,0,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,2,0,2,3,37,9,9,4,9,0,2,1,1,1,1,1,26,0.8333740234375,3,12,12,12,14,0,1,1
291177,1,7,1,2,5,5,3,1,1,0,0,0,0,0,2,0,3,1,2,1,2,2,3,1,2,2,0,0,0,1,0,1,1,63,9,9,3,9,2,2,1,1,3,1,0,54,0,1,12,12,12,13,0,1,0
369975,1,7,2,-2,2,4,2,2,0,1,0,0,0,0,2,1,1,2,1,1,3,2,3,4,2,1,0,0,0,1,0,1,2,61,10,9,7,5,0,1,1,1,3,1,1,22,2.0833740234375,2,12,9,13,12,0,0,0
428211,1,5,1,2,2,5,3,3,0,0,0,1,0,0,2,1,1,3,1,1,4,1,3,1,2,1,0,0,0,1,0,1,4,62,12,14,5,12,5,1,1,1,3,1,1,32,0.1666259765625,4,20,16,16,13,0,1,0
444471,0,5,2,2,1,7,3,1,1,0,0,0,0,0,1,1,1,4,2,1,1,1,2,1,2,3,0,0,0,2,0,1,1,74,10,9,6,9,3,1,1,1,1,1,0,24,0,1,12,12,13,14,0,0,0
497203,1,2,1,2,5,5,3,1,1,0,0,0,0,0,1,1,1,3,1,1,2,1,3,1,2,1,0,0,0,2,0,1,1,50,10,9,7,9,0,2,1,1,1,1,1,31,0.833251953125,1,12,12,13,14,0,1,1
504041,0,7,1,2,6,5,2,1,1,0,0,0,0,0,2,0,1,1,5,1,4,2,1,1,2,3,0,0,0,1,0,1,1,65,10,8,1,8,2,1,1,1,3,1,0,30,1.3333740234375,1,12,12,13,12,0,1,0
507747,1,6,2,-2,6,5,2,1,1,0,0,0,0,0,2,1,1,2,1,1,1,1,2,1,2,1,0,0,0,1,0,5,1,58,12,9,4,9,2,2,1,1,3,1,1,23,0.25,1,12,12,16,12,0,0,0
516823,1,2,1,1,3,7,3,1,1,0,0,0,0,0,2,1,1,2,1,1,4,1,2,5,2,1,0,0,0,1,0,1,1,83,10,8,1,11,0,1,1,1,3,1,1,18,0,1,12,14,13,13,0,1,0
582849,1,1,1,1,2,3,4,1,1,0,0,0,0,0,2,1,1,4,1,1,3,1,2,1,2,1,0,0,0,1,0,1,1,46,12,9,4,12,0,1,1,1,3,1,1,18,0.75,1,12,16,16,16,0,1,0
585169,0,5,1,2,2,6,3,1,1,0,0,0,0,0,2,1,1,1,1,1,1,1,2,5,2,1,0,0,0,1,0,1,1,70,12,9,4,9,6,1,1,1,2,1,1,23,0,1,12,12,16,13,0,1,0
587121,0,3,1,2,3,7,2,1,1,0,0,0,0,0,1,1,1,3,1,1,3,1,3,5,2,1,0,0,0,2,0,1,1,77,9,9,1,10,5,2,1,1,1,1,1,15,54.75,1,12,13,12,12,0,1,1
587125,1,6,1,1,4,4,4,1,1,0,0,0,0,0,2,1,1,2,1,1,3,1,2,7,2,1,0,0,0,1,0,1,1,51,12,9,3,9,0,1,1,1,3,1,1,30,5.4166259765625,1,12,12,16,17,0,1,1
589881,1,1,-2,1,2,4,4,1,1,0,0,0,0,0,1,1,1,3,1,1,1,1,4,1,2,1,0,0,0,2,0,1,1,51,11,9,1,10,1,1,NA,1,1,1,1,NA,NA,1,12,13,14,16,0,NA,1
605501,0,3,-2,2,4,6,1,1,1,0,0,0,0,0,2,0,1,1,3,1,4,3,1,5,2,3,0,0,0,1,0,1,1,79,10,8,4,9,1,1,1,1,1,1,0,16,0.5,1,12,12,13,10,0,NA,0
606657,1,7,1,2,4,4,4,1,1,0,0,0,0,0,2,1,2,3,3,1,3,1,1,2,2,2,0,0,0,1,0,1,1,47,13,9,3,13,4,1,1,1,2,1,0,44,0,1,12,17,17,20,1,1,1
608697,1,1,1,2,2,3,4,1,1,0,0,0,0,0,1,1,1,4,1,1,4,1,4,1,2,1,0,0,0,2,0,1,1,42,12,13,1,11,0,1,1,1,1,1,1,22,0.0833740234375,1,17,14,16,17,0,1,1
616985,1,7,1,2,5,5,2,1,1,0,0,0,0,0,1,1,2,2,6,1,3,1,2,1,2,2,0,0,0,2,0,1,1,69,11,0,7,9,NA,0,1,1,1,1,0,20,0.0833740234375,1,NA,12,14,12,0,1,0
620797,0,6,1,-2,5,1,3,3,0,0,0,1,0,0,1,1,1,4,5,1,1,1,2,7,2,3,0,0,0,2,0,2,5,24,9,9,5,12,2,0,1,1,3,1,0,21,0,4,12,16,12,13,0,1,0
621641,1,6,1,1,5,5,2,1,1,0,0,0,0,0,2,1,1,3,1,1,2,1,2,1,2,1,0,0,0,1,0,1,1,56,9,9,2,6,0,2,1,1,1,1,1,32,0.0833740234375,1,12,10,12,12,0,1,0
626591,1,2,2,1,4,5,4,1,1,0,0,0,0,0,1,1,1,4,1,0,3,1,2,2,2,1,0,0,0,2,0,1,1,56,10,12,1,10,0,2,1,1,3,1,1,33,4.25,1,16,13,13,16,0,0,0
632159,0,2,1,2,4,4,4,1,1,0,0,0,0,0,1,1,1,4,1,1,3,1,3,1,2,1,0,0,0,2,0,1,1,46,12,12,4,13,7,1,1,1,1,1,1,27,20.083251953125,1,16,17,16,20,0,1,1
632253,1,5,1,-2,6,3,3,1,1,0,0,0,0,0,1,1,1,4,1,1,4,1,4,4,2,1,0,0,0,2,0,1,4,46,10,10,4,9,3,1,1,1,2,1,1,23,10.25,1,13,12,13,14,0,1,0
634833,1,3,1,-2,5,3,4,1,1,0,0,0,0,0,1,1,1,3,1,1,3,1,2,1,2,1,0,0,0,2,0,1,1,32,10,8,3,12,1,2,1,1,1,1,1,30,0,1,12,16,13,17,0,1,1
637531,1,6,1,-2,6,3,2,1,1,0,0,0,0,0,2,1,1,4,1,1,4,1,2,1,2,1,0,0,0,1,0,1,5,44,10,9,5,11,0,1,1,1,1,1,1,23,0.3333740234375,1,12,14,13,12,0,1,1
643423,1,3,1,2,2,6,3,1,1,0,0,0,0,0,2,1,1,3,1,1,3,1,2,5,2,1,0,0,0,1,0,1,1,72,10,5,5,5,0,1,1,1,3,1,1,14,0.1666259765625,1,9,9,13,13,0,1,0
643505,1,1,1,2,4,5,2,4,1,0,0,0,0,0,2,1,1,2,1,1,2,1,2,5,2,1,0,0,0,1,0,1,1,58,10,8,1,3,20,1,1,1,3,1,1,19,1,1,12,5.5,13,12,0,1,0
645963,0,5,1,-2,6,2,4,1,1,0,0,0,0,0,1,0,1,4,5,1,4,1,3,1,2,3,0,0,0,2,0,1,1,28,12,10,7,13,0,0,2,1,3,2,0,25,0,1,13,17,16,16,1,1,0
646023,1,3,-2,1,6,6,2,1,1,0,0,0,0,0,2,1,1,3,1,0,2,1,2,1,2,1,0,0,0,1,0,1,1,71,9,9,1,9,4,1,1,1,2,1,1,19,0,1,12,12,12,12,0,NA,0
646157,1,3,1,1,2,5,4,1,1,0,0,0,0,0,2,1,4,4,1,1,3,1,3,1,2,1,0,0,0,1,0,1,1,64,10,9,4,10,0,2,1,1,1,1,1,49,0,1,12,13,13,17,1,1,0
648619,1,5,1,-2,4,4,4,3,0,0,0,1,0,0,1,1,3,4,6,1,4,1,1,1,2,2,0,0,0,2,0,1,5,30,14,14,4,14,0,0,1,1,2,1,0,26,1.3333740234375,4,20,20,20,17,0,1,0
648669,1,7,1,2,6,5,2,1,1,0,0,0,0,0,2,1,1,3,1,0,2,1,1,7,2,1,0,0,0,1,0,1,1,64,10,10,7,9,2,2,1,1,3,1,1,24,0,1,13,12,13,12,0,1,0
650237,1,3,1,1,2,6,2,4,1,0,0,0,0,0,1,1,1,2,1,1,3,1,2,5,2,1,0,0,0,2,0,1,1,59,9,9,2,11,1,3,1,1,3,1,1,NA,NA,1,12,14,12,12,0,1,0
651259,1,5,1,2,1,3,4,1,1,0,0,0,0,0,2,1,1,3,1,1,2,1,1,1,2,1,0,0,0,1,0,1,1,52,12,10,4,12,1,1,1,1,1,1,1,25,0,1,13,16,16,16,0,1,0
651349,1,7,1,2,2,5,4,1,1,0,0,0,0,0,1,1,1,4,1,1,3,1,2,1,2,1,0,0,0,2,0,1,1,58,13,10,7,9,2,2,1,1,1,1,1,26,0.1666259765625,1,13,12,17,20,0,1,0
652049,0,NA,-2,NA,NA,1,2,1,1,0,0,0,0,1,1,0,1,2,5,0,3,1,6,1,2,4,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,12,NA,NA,0
653633,1,5,1,2,6,6,4,1,1,0,0,0,0,0,1,1,1,3,1,1,4,1,2,2,2,1,0,0,0,2,0,1,1,70,14,9,1,10,1,1,1,1,4,1,1,20,0.416748046875,1,12,13,20,16,0,1,0
654043,1,6,1,-2,5,3,3,1,1,0,0,0,0,0,2,1,2,3,1,1,3,1,2,1,2,1,0,0,0,1,0,1,1,33,9,13,7,9,2,1,1,1,2,1,1,20,0,1,17,12,12,13,1,1,0
654589,1,3,2,2,5,5,4,5,1,0,1,0,0,0,2,1,1,2,6,1,2,1,2,2,2,1,0,0,0,1,0,1,1,64,11,10,3,9,2,1,1,1,3,1,1,24,0.1666259765625,3,13,12,14,16,0,0,0
654967,0,4,1,-2,4,2,3,1,1,0,0,0,0,0,2,0,1,2,1,1,4,1,4,7,2,1,0,0,0,1,0,1,1,28,9,11,4,11,2,1,4,1,4,1,1,15,1.75,1,14,14,12,14,0,1,1
657869,1,4,1,-2,6,5,3,1,1,0,0,0,0,0,1,1,1,4,1,1,3,1,2,1,2,1,0,0,0,2,0,1,1,60,12,10,4,9,2,1,1,1,1,1,1,17,0,1,13,12,16,14,0,1,1
659217,1,7,1,-2,5,5,4,3,0,0,0,1,0,1,1,1,1,4,1,1,1,1,3,4,2,1,0,0,0,2,0,1,5,56,12,12,5,12,0,1,1,1,1,1,1,27,0.0833740234375,4,16,16,16,16,0,1,0
662355,1,7,1,-2,5,6,4,1,1,0,0,0,0,0,2,1,1,3,1,1,3,1,2,2,1,1,1,0,0,1,2,1,1,61,14,11,4,13,1,3,2,4,3,1,1,33,0.25,1,14,17,20,17,0,1,0
663969,0,6,1,1,1,2,4,2,0,1,0,0,0,0,1,1,1,2,5,0,3,1,2,1,2,3,0,0,0,2,0,1,2,25,10,8,5,13,1,0,1,1,1,1,0,21,0,2,12,17,13,16,0,1,0
694725,0,6,2,2,4,5,4,1,1,0,0,0,0,0,2,1,1,4,1,1,1,1,2,4,2,1,0,0,0,1,0,1,1,64,12,9,1,11,0,2,1,1,3,1,1,44,0.4166259765625,1,12,14,16,16,0,0,0
694739,1,1,1,2,5,5,2,1,1,0,0,0,0,0,2,1,3,1,1,1,4,2,2,1,2,1,0,0,0,1,0,1,1,60,9,6,1,5,0,1,1,1,1,1,1,18,0,1,10,9,12,12,0,1,0
698117,1,2,1,1,3,2,4,1,1,0,0,0,0,0,2,0,1,4,1,0,2,1,2,1,2,1,0,0,0,1,0,1,1,43,12,10,4,12,5,1,1,1,3,1,1,25,0.5833740234375,1,13,16,16,16,0,1,0
703017,1,7,-2,-2,6,5,2,1,1,0,0,0,0,0,2,1,4,4,1,1,3,1,4,6,2,1,0,0,0,1,0,1,1,56,11,14,2,3,0,2,1,1,3,1,1,28,0,1,20,5.5,14,12,0,NA,0
704661,1,6,1,2,5,6,2,1,1,0,0,0,0,0,2,1,1,3,1,1,4,1,2,5,2,1,0,0,0,1,0,1,1,75,10,9,4,9,0,1,1,1,2,1,1,15,0.25,1,12,12,13,12,0,1,0
704807,0,5,2,1,2,6,3,1,1,0,0,0,0,0,2,0,1,2,2,0,1,3,8,5,2,2,0,0,0,1,0,1,1,74,10,12,4,10,17,1,1,1,4,1,0,20,0.0833740234375,1,16,13,13,13,0,0,1
705457,1,7,1,2,2,2,4,1,1,0,0,0,0,0,2,1,1,3,1,1,2,1,2,1,2,1,0,0,0,1,0,1,1,31,12,11,7,12,6,2,2,1,3,1,1,21,3.1666259765625,1,14,16,16,16,0,1,0
709075,1,5,2,2,2,6,3,1,1,0,0,0,0,0,2,1,1,2,1,1,4,1,2,5,2,1,0,0,0,1,0,1,1,80,11,12,4,9,0,2,1,1,3,1,1,28,0.1666259765625,1,16,12,14,13,0,0,0
709173,1,5,1,2,6,5,4,4,1,0,0,0,0,0,1,1,1,4,1,1,3,1,2,5,2,1,0,0,0,2,0,1,1,58,14,9,7,13,2,2,1,1,3,1,1,25,0.25,1,12,17,20,17,0,1,0
710045,0,5,1,1,5,5,1,2,0,1,0,0,0,0,2,1,1,1,5,1,3,2,3,1,2,3,0,0,0,1,0,1,2,55,0,0,0,0,2,0,1,1,0,1,0,25,0.1666259765625,2,NA,NA,NA,9,0,1,1
715665,0,3,1,2,2,1,3,1,1,0,0,0,0,0,1,1,1,2,5,1,3,1,3,7,2,3,0,0,0,2,0,1,1,21,10,12,4,11,4,0,1,1,4,1,0,NA,NA,1,16,14,13,13,0,1,1
